VM,Datacenter,Cluster,Hard Disk,Datastore,VMConfigFile,VMDKpath
dev-VC65-l1,AltaroProduction,Cluster,Hard disk 9,SAN_Storage,[SAN_Storage] dev-VC65-l1/dev-VC65-l1.vmx,[SAN_Storage] dev-VC65-l1/dev-VC65-l1_8-000001.vmdk
devXP-a1,AltaroProduction,Cluster,Hard disk 1,QNAP953,[QNAP953] devXP-a1/devXP-a1.vmx,[QNAP953] devXP-a1/devXP-a1.vmdk
JUL-CLUSA-N1,AltaroProduction,Cluster,Hard disk 1,16.120 Secondary Datastore,[16.120 Secondary Datastore] JUL-CLUSA-N1/JUL-CLUSA-N1.vmx,[16.120 Secondary Datastore] JUL-CLUSA-N1/JUL-CLUSA-N1_3.vmdk
JUL-CLUSA-N2,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] JUL-CLUSA-N2/JUL-CLUSA-N2.vmx,[SAN_Storage] JUL-CLUSA-N2/JUL-CLUSA-N2_3.vmdk
JUL-CLUSA-STORAGE,AltaroProduction,Cluster,Hard disk 1,SAN_Storage,[SAN_Storage] JUL-CLUSA-STORAGE/JUL-CLUSA-STORAGE.vmx,[SAN_Storage] JUL-CLUSA-STORAGE/JUL-CLUSA-STORAGE_3.vmdk
Mcassar1 - 192.168.16.79,AltaroProduction,Cluster,Hard disk 1,16.120 Main Datastore,[16.120 Main Datastore] MCASSAR-1/MCASSAR-1.vmx,[16.120 Main Datastore] MCASSAR-1/MCASSAR-1.vmdk
Mcassar1 - 192.168.16.79,AltaroProduction,Cluster,Hard disk 2,16.120 Main Datastore,[16.120 Main Datastore] MCASSAR-1/MCASSAR-1.vmx,[16.120 Main Datastore] MCASSAR-1/MCASSAR-1_1.vmdk
SIM-CLUSA-N1,AltaroProduction,Cluster,Hard disk 1,16.120 Secondary Datastore,[16.120 Secondary Datastore] SIM-CLUSA-N1/SIM-CLUSA-N1.vmx,[16.120 Secondary Datastore] SIM-CLUSA-N1/SIM-CLUSA-N1_3.vmdk
SIM-CLUSA-N1,AltaroProduction,Cluster,Hard disk 2,16.120 Secondary Datastore,[16.120 Secondary Datastore] SIM-CLUSA-N1/SIM-CLUSA-N1.vmx,[16.120 Secondary Datastore] SIM-CLUSA-N1/SIM-CLUSA-N1.vmdk
SIM-CLUSA-N2,AltaroProduction,Cluster,Hard disk 1,16.120 Secondary Datastore,[16.120 Secondary Datastore] SIM-CLUSA-N2/SIM-CLUSA-N2.vmx,[16.120 Secondary Datastore] SIM-CLUSA-N2/SIM-CLUSA-N2_3.vmdk
